epoch;loss;accuracy;recall;precision;miou;f1_score;auc;auc_pr;val_loss;val_accuracy;val_recall;val_precision;val_miou;val_f1_score;val_auc;val_auc_pr
1;0.7167691588401794;0.7203271389007568;0.6278515458106995;0.8033707737922668;0.37926435470581055;0.6978848576545715;0.9135910868644714;0.8240903615951538;0.5674518942832947;0.7736382484436035;0.7039570808410645;0.8428359627723694;0.3830156624317169;0.7670938968658447;0.9466501474380493;0.8847079277038574
2;0.43811407685279846;0.8209484815597534;0.7832275629043579;0.8582879304885864;0.38071978092193604;0.8188566565513611;0.9667193293571472;0.9217677116394043;0.5814175605773926;0.7402145862579346;0.6698896288871765;0.826171875;0.3783968687057495;0.7399094700813293;0.9437056183815002;0.8782380819320679
3;0.3885384500026703;0.8337234258651733;0.8014780879020691;0.8676213622093201;0.38107264041900635;0.8331040143966675;0.9729859828948975;0.933755099773407;0.36985722184181213;0.8408768177032471;0.8036234378814697;0.8764727115631104;0.3787054121494293;0.838357150554657;0.9762710928916931;0.9404385089874268
4;0.3526417016983032;0.849523663520813;0.8233301043510437;0.8759579658508301;0.3826707899570465;0.8487620949745178;0.9772258996963501;0.9425830245018005;0.35091206431388855;0.8454840183258057;0.8095039129257202;0.8763622641563416;0.38617831468582153;0.8415125608444214;0.9781678915023804;0.9440454840660095
5;0.3364868760108948;0.8518636226654053;0.8292311429977417;0.8734879493713379;0.38487470149993896;0.8507112264633179;0.9788028001785278;0.945347249507904;0.35877525806427;0.8544060587882996;0.8453263640403748;0.864128053188324;0.3844793736934662;0.8545964956283569;0.9786763787269592;0.9450886249542236
6;0.3175126910209656;0.8592624664306641;0.8390007615089417;0.8787353038787842;0.3860059082508087;0.8583639860153198;0.9809572100639343;0.9503165483474731;0.29811081290245056;0.8606759309768677;0.8402013182640076;0.8811444044113159;0.38263198733329773;0.8601013422012329;0.9829300045967102;0.9547282457351685
7;0.3190750181674957;0.8595744371414185;0.8393226265907288;0.8791276216506958;0.38771921396255493;0.858704149723053;0.9808947443962097;0.9502743482589722;0.30337974429130554;0.8640046119689941;0.8417195677757263;0.886665403842926;0.3873899281024933;0.8634754419326782;0.9827694892883301;0.9548251032829285
8;0.3006660044193268;0.8668304681777954;0.8492302894592285;0.8843292593955994;0.38830646872520447;0.8663637042045593;0.9829254150390625;0.9551956653594971;0.3374144732952118;0.8339652419090271;0.8182983994483948;0.849536657333374;0.392160028219223;0.833562970161438;0.9775098562240601;0.9406644105911255
9;0.3032112121582031;0.8669513463973999;0.8486858606338501;0.8851604461669922;0.3894878029823303;0.8664785623550415;0.9828165769577026;0.9550584554672241;0.3610682487487793;0.8218186497688293;0.7902937531471252;0.8547685146331787;0.3914649784564972;0.8210882544517517;0.9750334024429321;0.9365105628967285
10;0.2938222885131836;0.8714175224304199;0.8552652597427368;0.8874590992927551;0.3903803825378418;0.8710010647773743;0.9837355613708496;0.9571928381919861;0.3038865327835083;0.8712912797927856;0.8591986894607544;0.8845085501670837;0.407859206199646;0.8715927004814148;0.9828594326972961;0.9554445147514343
11;0.28188827633857727;0.8782740831375122;0.8624804019927979;0.894137978553772;0.392195463180542;0.8779551386833191;0.9851436018943787;0.9608529806137085;0.29110848903656006;0.8759430646896362;0.8603116869926453;0.8922203779220581;0.39633411169052124;0.8758958578109741;0.9841479659080505;0.9586553573608398
12;0.2920966148376465;0.8711207509040833;0.8548979163169861;0.8874760270118713;0.3922039866447449;0.8708204030990601;0.9839301109313965;0.9577116966247559;0.3101009130477905;0.8616881370544434;0.8454616665840149;0.8790522217750549;0.3986661732196808;0.861787736415863;0.9818122386932373;0.9527288675308228
13;0.2708078920841217;0.8858489990234375;0.8722807765007019;0.8994878530502319;0.39234182238578796;0.8856207728385925;0.9862776398658752;0.9637902975082397;0.3101732134819031;0.8667362928390503;0.8534743189811707;0.8806273937225342;0.38711902499198914;0.8667845726013184;0.9819945096969604;0.953770637512207
14;0.2761652171611786;0.8804059028625488;0.8655564188957214;0.8956794738769531;0.39342865347862244;0.8802769184112549;0.9857106804847717;0.9623363018035889;0.38932937383651733;0.856452226638794;0.8459634184837341;0.8698015213012695;0.3868774175643921;0.8576080799102783;0.9746893644332886;0.9412999153137207
15;0.268888384103775;0.8852585554122925;0.871971607208252;0.8987681269645691;0.39338219165802;0.8851147294044495;0.9864107370376587;0.9640615582466125;0.29838597774505615;0.8624601364135742;0.8501367568969727;0.8755319118499756;0.39826321601867676;0.8625605702400208;0.9830065369606018;0.955113410949707
