epoch;accuracy;f1_score;iou;precision;recall;loss
1;0.75068199634552;0.7467014789581299;0.37583595514297485;0.8573017716407776;0.6614251136779785;0.6028852462768555
2;0.799685001373291;0.7880011200904846;0.37502291798591614;0.8771282434463501;0.7156911492347717;0.4632977545261383
3;0.8373708724975586;0.8402706980705261;0.37620121240615845;0.851499080657959;0.8296365737915039;0.40030863881111145
4;0.8587794303894043;0.8559767007827759;0.3756070137023926;0.888582170009613;0.8259865045547485;0.3095560371875763
5;0.8534071445465088;0.8533438444137573;0.3755578398704529;0.8669546246528625;0.8403348922729492;0.3344701826572418
6;0.8597047328948975;0.8614214658737183;0.37558263540267944;0.8875933885574341;0.8371580839157104;0.3119864761829376
7;0.8720732927322388;0.8715498447418213;0.37827131152153015;0.8914525508880615;0.8526756167411804;0.30126145482063293
8;0.8734808564186096;0.8736205101013184;0.3776973485946655;0.8893407583236694;0.8586254119873047;0.2942064106464386
9;0.8890546560287476;0.8893450498580933;0.37768083810806274;0.903788685798645;0.8755213618278503;0.2628646194934845
10;0.8785277605056763;0.8794663548469543;0.3797945976257324;0.8920751214027405;0.8673364520072937;0.2734930217266083
11;0.8874951601028442;0.8858155608177185;0.3769818842411041;0.9056559801101685;0.866997480392456;0.27019309997558594
12;0.8269048929214478;0.8253809809684753;0.3761534094810486;0.845497190952301;0.8063226938247681;0.3219699263572693
13;0.7374579906463623;0.741504430770874;0.37606120109558105;0.7624626755714417;0.7218186855316162;0.5535947680473328
14;0.8850501775741577;0.8847270011901855;0.3782874345779419;0.900301456451416;0.869844377040863;0.28087544441223145
15;0.8867412805557251;0.8860255479812622;0.37668898701667786;0.9075390696525574;0.8657275438308716;0.2786308526992798
16;0.8910138607025146;0.8912420272827148;0.38172590732574463;0.8999132513999939;0.8828743696212769;0.2795322835445404
17;0.8875986337661743;0.887497067451477;0.37712934613227844;0.9049955010414124;0.870917558670044;0.2868873178958893
18;0.7859787940979004;0.786592960357666;0.37846022844314575;0.7987536787986755;0.7748021483421326;0.4147679805755615
19;0.8796343803405762;0.8799172639846802;0.3802133798599243;0.8922021985054016;0.8681362867355347;0.3075886368751526
20;0.8273472785949707;0.8288747668266296;0.3797851800918579;0.8437331914901733;0.8146693110466003;0.3402515947818756
21;0.8618801832199097;0.8630969524383545;0.38184937834739685;0.876338005065918;0.850471019744873;0.34807226061820984
22;0.887197732925415;0.887532114982605;0.3828139305114746;0.89640212059021;0.8789941668510437;0.33181044459342957
23;0.8636500835418701;0.8634126782417297;0.37593239545822144;0.8772563934326172;0.8500742316246033;0.31555745005607605
24;0.8586217164993286;0.8589401841163635;0.3816879093647003;0.8684560656547546;0.8497118353843689;0.31826385855674744
25;0.8846573829650879;0.8846393823623657;0.3834109604358673;0.8952926397323608;0.8743067979812622;0.3018186390399933
26;0.8857101798057556;0.8860057592391968;0.387090802192688;0.8920878171920776;0.8801248073577881;0.3895726203918457
27;0.886406660079956;0.8864377737045288;0.39458203315734863;0.8961032629013062;0.8770778179168701;0.3094762861728668
28;0.8452619314193726;0.8456675410270691;0.3793691396713257;0.8562591671943665;0.8353999257087708;0.3505604863166809
29;0.854430615901947;0.8555943965911865;0.3883412480354309;0.862101137638092;0.8494190573692322;0.6208719611167908
30;0.8422241806983948;0.842734694480896;0.3806881904602051;0.8513672947883606;0.8343381881713867;0.3866986930370331
31;0.8855749368667603;0.8857913613319397;0.3886560797691345;0.8934570550918579;0.8783480525016785;0.33636608719825745
32;0.8324817419052124;0.8330893516540527;0.4000697433948517;0.8427112698554993;0.8237583637237549;0.41093549132347107
33;0.8711037039756775;0.8720214366912842;0.38926923274993896;0.8812341690063477;0.8631053566932678;0.42153042554855347
34;0.8817601203918457;0.8821827173233032;0.3794930875301361;0.8883413076400757;0.8762036561965942;0.44265544414520264
35;0.8860688209533691;0.8862667679786682;0.3936325013637543;0.8927108645439148;0.8800029754638672;0.3772962987422943
36;0.8804657459259033;0.8808646202087402;0.39561358094215393;0.886158287525177;0.8757002353668213;0.44264212250709534
37;0.8840577602386475;0.8845264911651611;0.3856988847255707;0.887852132320404;0.8813308477401733;0.6110696792602539
38;0.876731276512146;0.8773497939109802;0.39367496967315674;0.8843361139297485;0.8705836534500122;0.38113048672676086
39;0.8527854681015015;0.8529793620109558;0.39144808053970337;0.859200656414032;0.8468852639198303;0.4222222864627838
40;0.8711123466491699;0.8716349005699158;0.3987515866756439;0.8760396838188171;0.8673933744430542;0.718239963054657
41;0.873121976852417;0.8734821081161499;0.38461077213287354;0.8792322278022766;0.8678508400917053;0.36188358068466187
42;0.8677529692649841;0.868295431137085;0.38714444637298584;0.8722364902496338;0.8645407557487488;0.5877091288566589
43;0.8709290027618408;0.8715804815292358;0.4702679514884949;0.8754342794418335;0.8678512573242188;0.6296415328979492
44;0.8732271790504456;0.8742486834526062;0.3917117714881897;0.8790619373321533;0.8696537017822266;0.5905194878578186
45;0.8822590112686157;0.8826349377632141;0.38515016436576843;0.8885738253593445;0.8768495321273804;0.44887903332710266
46;0.8567646145820618;0.85698002576828;0.38248246908187866;0.8612365126609802;0.8527812957763672;0.5146442651748657
47;0.8818987607955933;0.8823009729385376;0.3917792737483978;0.8855534791946411;0.8791598081588745;0.6259748935699463
48;0.8814038634300232;0.8819370865821838;0.38661709427833557;0.8862317800521851;0.877779483795166;0.5751280784606934
49;0.8686106204986572;0.8690007925033569;0.38790711760520935;0.8745434880256653;0.8635641932487488;0.4253290593624115
50;0.8666044473648071;0.8673197031021118;0.4187348186969757;0.8711480498313904;0.8636947870254517;0.7161730527877808
