epoch;accuracy;f1_score;iou;precision;recall;loss
1;0.7646942734718323;0.7564228177070618;0.37590163946151733;0.8434902429580688;0.6858173608779907;0.5677667856216431
2;0.8259527683258057;0.8243952393531799;0.3751937747001648;0.8788813352584839;0.7768305540084839;0.4228651523590088
3;0.8436557054519653;0.8382842540740967;0.3754284381866455;0.8847123384475708;0.7968274354934692;0.3740691840648651
4;0.8193955421447754;0.8192375302314758;0.37604084610939026;0.868623673915863;0.7756469249725342;0.4157494306564331
5;0.8612459897994995;0.8571848273277283;0.375807523727417;0.8959193229675293;0.8219190239906311;0.3116016983985901
6;0.861431896686554;0.8646131753921509;0.3770846426486969;0.8829126954078674;0.8474140763282776;0.30442389845848083
7;0.8739070892333984;0.8728526830673218;0.3771763741970062;0.8929137587547302;0.8538564443588257;0.28323742747306824
8;0.882044792175293;0.8824895024299622;0.37880662083625793;0.8975292444229126;0.8681425452232361;0.26984304189682007
9;0.8832127451896667;0.883356511592865;0.3758947551250458;0.8983500599861145;0.8689807057380676;0.2731817364692688
10;0.876854658126831;0.8777255415916443;0.3797324597835541;0.8892452120780945;0.8666470050811768;0.2889993488788605
11;0.8810757398605347;0.882027804851532;0.3774867057800293;0.8941354155540466;0.8704595565795898;0.26892805099487305
12;0.8709577322006226;0.869720995426178;0.3768076002597809;0.8972799777984619;0.8439847230911255;0.29522842168807983
13;0.8817125558853149;0.8811724781990051;0.3785032629966736;0.8985227346420288;0.8646330833435059;0.2863315939903259
14;0.8751879930496216;0.8761132955551147;0.37878429889678955;0.8877614736557007;0.8649200201034546;0.2937781810760498
15;0.8747568130493164;0.874991238117218;0.37769636511802673;0.8894462585449219;0.8611506819725037;0.2884119749069214
