epoch;accuracy;f1_score;iou;precision;recall;loss
1;0.8481869101524353;0.8467124700546265;0.3768557906150818;0.8818036913871765;0.8144205808639526;0.3489578068256378
2;0.8510808944702148;0.8522541522979736;0.3772675395011902;0.8656389713287354;0.8393146991729736;0.3454597592353821
3;0.8629103899002075;0.8631254434585571;0.37984558939933777;0.8739761114120483;0.8526193499565125;0.3267679214477539
4;0.8794764876365662;0.8790529370307922;0.3836386501789093;0.8967278003692627;0.8622139096260071;0.2759860157966614
5;0.8753516674041748;0.8749582767486572;0.38152334094047546;0.8950691819190979;0.8559795618057251;0.2912724018096924
