epoch;accuracy;f1_score;iou;precision;recall;loss
1;0.8001726865768433;0.7759000062942505;0.3755207359790802;0.8981814384460449;0.6832720637321472;0.5762099623680115
2;0.8365476131439209;0.8321710824966431;0.37568339705467224;0.8833157420158386;0.786824107170105;0.3832930624485016
3;0.8468685150146484;0.8444980978965759;0.37523385882377625;0.8843303918838501;0.8083422183990479;0.3544608950614929
4;0.8530465364456177;0.8553531169891357;0.3758453130722046;0.8775520920753479;0.834446132183075;0.33757445216178894
5;0.8541849255561829;0.8546316027641296;0.3761724829673767;0.8817737698554993;0.8293065428733826;0.319778174161911
6;0.8500856161117554;0.8515340685844421;0.37556278705596924;0.8741549253463745;0.8303280472755432;0.3355700671672821
7;0.8645225763320923;0.8648731112480164;0.3756878972053528;0.8807714581489563;0.8496843576431274;0.29841169714927673
8;0.8822834491729736;0.8820302486419678;0.3761976659297943;0.9001427292823792;0.8647966384887695;0.27271756529808044
9;0.8861154913902283;0.8859934210777283;0.3752683401107788;0.9052045345306396;0.8677296042442322;0.2741851210594177
10;0.8655291795730591;0.863440990447998;0.37595033645629883;0.8868555426597595;0.8414018154144287;0.28867101669311523
11;0.8894174098968506;0.8895137310028076;0.3757505714893341;0.9046421051025391;0.8750486373901367;0.27143460512161255
12;0.8590079545974731;0.8601053953170776;0.37593337893486023;0.8747524619102478;0.8461524844169617;0.35584786534309387
13;0.9025506377220154;0.9021033048629761;0.37660670280456543;0.9151492118835449;0.8895384073257446;0.24576063454151154
14;0.8857500553131104;0.8854690790176392;0.3754691779613495;0.8976278305053711;0.8737171292304993;0.27498695254325867
15;0.8519052267074585;0.8517282605171204;0.3752750754356384;0.866202175617218;0.8377652764320374;0.31697165966033936
