epoch;accuracy;f1_score;iou;precision;recall;loss
1;0.7090911865234375;0.6834184527397156;0.37815284729003906;0.7825101613998413;0.6067779064178467;0.7638108134269714
2;0.7095578908920288;0.6907265186309814;0.3765175938606262;0.7833414077758789;0.6178275942802429;0.7082521915435791
3;0.72609943151474;0.7181524634361267;0.37689146399497986;0.7868736982345581;0.6606176495552063;0.6711792349815369
4;0.7330251932144165;0.7257692217826843;0.378492534160614;0.8066151738166809;0.6597092151641846;0.6527413129806519
5;0.7466461062431335;0.733728289604187;0.37807488441467285;0.8351607322692871;0.6544536352157593;0.6210395693778992
6;0.7517110109329224;0.7372748255729675;0.37647387385368347;0.8449403047561646;0.6542164087295532;0.6081464290618896
7;0.7104292511940002;0.7132316827774048;0.37664374709129333;0.7663345336914062;0.6670356392860413;0.748551070690155
8;0.7306197881698608;0.7321271896362305;0.37743085622787476;0.7843981981277466;0.6864258050918579;0.6616935133934021
9;0.5509192943572998;0.5424564480781555;0.3758462965488434;0.5729267597198486;0.5151327252388;1.1486315727233887
10;0.7534971237182617;0.7476462125778198;0.3763429522514343;0.7986440658569336;0.7029709219932556;0.618211030960083
11;0.7896669507026672;0.781371533870697;0.3771554231643677;0.8603155016899109;0.7160079479217529;0.5163336396217346
12;0.7962416410446167;0.7937846779823303;0.37691017985343933;0.8408464789390564;0.7519857287406921;0.4932965636253357
13;0.8019276857376099;0.7988185286521912;0.37662577629089355;0.8513519167900085;0.7527096271514893;0.4752161204814911
14;0.7812273502349854;0.7792381048202515;0.37572723627090454;0.8325241804122925;0.7326886057853699;0.5360335111618042
15;0.8047081232070923;0.8013849854469299;0.3762913942337036;0.8548468351364136;0.7545298337936401;0.4739396274089813
