epoch;loss;accuracy;recall;precision;miou;f1_score;auc;auc_pr;val_loss;val_accuracy;val_recall;val_precision;val_miou;val_f1_score;val_auc;val_auc_pr
1;1.8578673601150513;0.3035137355327606;0.1409870982170105;0.27819153666496277;0.3749854862689972;0.18704861402511597;0.535977840423584;0.266130656003952;1.7623287439346313;0.30942392349243164;0.06919585168361664;0.19543467462062836;0.37499353289604187;0.10212145745754242;0.5405893325805664;0.2639441192150116
2;1.837934136390686;0.30378687381744385;0.13766613602638245;0.2789870500564575;0.37498506903648376;0.18429313600063324;0.5378255248069763;0.26732587814331055;1.6707826852798462;0.34389984607696533;0.07500016689300537;0.22148938477039337;0.3749949634075165;0.11192688345909119;0.5679216980934143;0.28167521953582764
3;1.8102508783340454;0.3086642026901245;0.13782310485839844;0.28614434599876404;0.37498563528060913;0.18595613539218903;0.543249785900116;0.27127090096473694;1.6385374069213867;0.35124197602272034;0.07179754227399826;0.22280724346637726;0.37499505281448364;0.1085112914443016;0.5780652165412903;0.2877991497516632
4;1.7911484241485596;0.31002843379974365;0.13531182706356049;0.28946536779403687;0.3749854862689972;0.1843213587999344;0.5454652905464172;0.2731889486312866;1.617905855178833;0.35358038544654846;0.06665514409542084;0.2216341495513916;0.37499499320983887;0.10238109529018402;0.5851781368255615;0.29249390959739685
5;1.7647716999053955;0.3156526982784271;0.1356526017189026;0.2983182966709137;0.3749859929084778;0.18641726672649384;0.5514377355575562;0.2778283655643463;1.589712381362915;0.3657666742801666;0.06293721497058868;0.2383529543876648;0.3749946653842926;0.09947443008422852;0.5956599116325378;0.30193281173706055
6;1.745826005935669;0.3192594647407532;0.1348661333322525;0.30523183941841125;0.37498509883880615;0.1869623363018036;0.5549740791320801;0.28115350008010864;1.575576663017273;0.3834047317504883;0.05688399076461792;0.23372767865657806;0.3749942183494568;0.09140661358833313;0.6004530787467957;0.3079223334789276
7;1.7248468399047852;0.3250885009765625;0.1377546787261963;0.31642425060272217;0.3749857246875763;0.19186769425868988;0.5610809326171875;0.2864517867565155;1.5476237535476685;0.4066242277622223;0.0579800084233284;0.24987676739692688;0.3749941289424896;0.09405440837144852;0.6122967004776001;0.32154685258865356
8;1.709082007408142;0.3289487063884735;0.13790935277938843;0.32477203011512756;0.3749854862689972;0.19349659979343414;0.5646987557411194;0.2902482748031616;1.5354002714157104;0.41168513894081116;0.0753609910607338;0.3120932877063751;0.3749941885471344;0.1211925595998764;0.6169949173927307;0.3278500735759735
9;1.6900116205215454;0.33460894227027893;0.14160381257534027;0.33677709102630615;0.3749856650829315;0.19929403066635132;0.5706442594528198;0.29597678780555725;1.5165126323699951;0.42279553413391113;0.08136988431215286;0.34066978096961975;0.3749941289424896;0.1310771107673645;0.6251544952392578;0.3377645015716553
10;1.678848385810852;0.3380066156387329;0.14310277998447418;0.3449212312698364;0.3749852180480957;0.20216357707977295;0.5740423798561096;0.2997399568557739;1.507138729095459;0.42779549956321716;0.08508718758821487;0.3598578870296478;0.3749937117099762;0.13729974627494812;0.6305075287818909;0.3442942798137665
11;1.6645450592041016;0.34146973490715027;0.14575405418872833;0.35416504740715027;0.3749856948852539;0.20642778277397156;0.5783608555793762;0.3043605387210846;1.4959009885787964;0.43166452646255493;0.08772166818380356;0.37458059191703796;0.3749936521053314;0.1417689174413681;0.6348145008087158;0.3500836491584778
12;1.6519434452056885;0.3462119400501251;0.14852795004844666;0.3635728359222412;0.37498632073402405;0.2107669711112976;0.5830830931663513;0.3093232810497284;1.48490571975708;0.4380924701690674;0.09026199579238892;0.3895571529865265;0.3749932050704956;0.1461559534072876;0.6409012079238892;0.35777729749679565
13;1.6439502239227295;0.3474638760089874;0.1499781757593155;0.3693642020225525;0.3749855160713196;0.21322375535964966;0.5850430130958557;0.3121090531349182;1.476922631263733;0.4392765164375305;0.09283223748207092;0.4014831781387329;0.37499332427978516;0.1503474861383438;0.6439253091812134;0.36205339431762695
14;1.630811333656311;0.35196852684020996;0.1534368097782135;0.3785574436187744;0.3749864399433136;0.21823376417160034;0.5900025963783264;0.31728702783584595;1.469050407409668;0.44463223218917847;0.09639488160610199;0.41403868794441223;0.37499290704727173;0.15593580901622772;0.6490006446838379;0.36921557784080505
15;1.625454068183899;0.35263189673423767;0.15456713736057281;0.38376352190971375;0.3749854266643524;0.22026591002941132;0.5912818312644958;0.3196798264980316;1.4604936838150024;0.447685182094574;0.09852565824985504;0.4259377121925354;0.37499237060546875;0.1595582216978073;0.6529276371002197;0.3748607933521271
